sex,education,age,partner_state,lead_partner_state,proportion
Men,Low Education,88,Single,Retired Partner,0.0
Men,Low Education,88,Working Partner,Single,0.0
Men,Low Education,88,Working Partner,Working Partner,0.0
Men,Low Education,88,Working Partner,Retired Partner,1.0
Men,Low Education,88,Retired Partner,Single,0.0
Men,Low Education,88,Retired Partner,Working Partner,0.0
Men,Low Education,88,Retired Partner,Retired Partner,1.0
Men,Low Education,89,Single,Single,1.0
Men,Low Education,89,Single,Working Partner,0.0
Men,Low Education,89,Single,Retired Partner,0.0
Men,Low Education,89,Working Partner,Single,0.0
Men,Low Education,89,Working Partner,Working Partner,0.0
Men,Low Education,89,Working Partner,Retired Partner,1.0
Men,Low Education,89,Retired Partner,Single,0.0
Men,Low Education,89,Retired Partner,Working Partner,0.0
Men,Low Education,89,Retired Partner,Retired Partner,1.0
Men,Low Education,90,Single,Single,1.0
Men,Low Education,90,Single,Working Partner,0.0
Men,Low Education,90,Single,Retired Partner,0.0
Men,Low Education,90,Working Partner,Single,0.0
Men,Low Education,90,Working Partner,Working Partner,0.0
Men,Low Education,90,Working Partner,Retired Partner,1.0
Men,Low Education,90,Retired Partner,Single,0.0
Men,Low Education,90,Retired Partner,Working Partner,0.0
Men,Low Education,90,Retired Partner,Retired Partner,1.0
Men,Low Education,91,Single,Single,1.0
Men,Low Education,91,Single,Working Partner,0.0
Men,Low Education,91,Single,Retired Partner,0.0
Men,Low Education,91,Working Partner,Single,0.0
Men,Low Education,91,Working Partner,Working Partner,0.0
Men,Low Education,91,Working Partner,Retired Partner,1.0
Men,Low Education,91,Retired Partner,Single,0.0
Men,Low Education,91,Retired Partner,Working Partner,0.0
Men,Low Education,91,Retired Partner,Retired Partner,1.0
Men,Low Education,92,Single,Single,1.0
Men,Low Education,92,Single,Working Partner,0.0
Men,Low Education,92,Single,Retired Partner,0.0
Men,Low Education,92,Working Partner,Single,0.0
Men,Low Education,92,Working Partner,Working Partner,0.0
Men,Low Education,92,Working Partner,Retired Partner,1.0
Men,Low Education,92,Retired Partner,Single,0.0
Men,Low Education,92,Retired Partner,Working Partner,0.0
Men,Low Education,92,Retired Partner,Retired Partner,1.0
Men,Low Education,93,Single,Single,1.0
Men,Low Education,93,Single,Working Partner,0.0
Men,Low Education,93,Single,Retired Partner,0.0
Men,Low Education,93,Working Partner,Single,0.0
Men,Low Education,93,Working Partner,Working Partner,0.0
Men,Low Education,93,Working Partner,Retired Partner,1.0
Men,Low Education,93,Retired Partner,Single,0.0
Men,Low Education,93,Retired Partner,Working Partner,0.0
Men,Low Education,93,Retired Partner,Retired Partner,1.0
Men,Low Education,94,Single,Single,1.0
Men,Low Education,94,Single,Working Partner,0.0
Men,Low Education,94,Single,Retired Partner,0.0
Men,Low Education,94,Working Partner,Single,0.0
Men,Low Education,94,Working Partner,Working Partner,0.0
Men,Low Education,94,Working Partner,Retired Partner,1.0
Men,Low Education,94,Retired Partner,Single,0.0
Men,Low Education,94,Retired Partner,Working Partner,0.0
Men,Low Education,94,Retired Partner,Retired Partner,1.0
Men,Low Education,95,Single,Single,1.0
Men,Low Education,95,Single,Working Partner,0.0
Men,Low Education,95,Single,Retired Partner,0.0
Men,Low Education,95,Working Partner,Single,0.0
Men,Low Education,95,Working Partner,Working Partner,0.0
Men,Low Education,95,Working Partner,Retired Partner,1.0
Men,Low Education,95,Retired Partner,Single,0.0
Men,Low Education,95,Retired Partner,Working Partner,0.0
Men,Low Education,95,Retired Partner,Retired Partner,1.0
Men,Low Education,96,Single,Single,1.0
Men,Low Education,96,Single,Working Partner,0.0
Men,Low Education,96,Single,Retired Partner,0.0
Men,Low Education,96,Working Partner,Single,0.0
Men,Low Education,96,Working Partner,Working Partner,0.0
Men,Low Education,96,Working Partner,Retired Partner,1.0
Men,Low Education,96,Retired Partner,Single,0.0
Men,Low Education,96,Retired Partner,Working Partner,0.0
Men,Low Education,96,Retired Partner,Retired Partner,1.0
Men,Low Education,97,Single,Single,1.0
Men,Low Education,97,Single,Working Partner,0.0
Men,Low Education,97,Single,Retired Partner,0.0
Men,Low Education,97,Working Partner,Single,0.0
Men,Low Education,97,Working Partner,Working Partner,0.0
Men,Low Education,97,Working Partner,Retired Partner,1.0
Men,Low Education,97,Retired Partner,Single,0.0
Men,Low Education,97,Retired Partner,Working Partner,0.0
Men,Low Education,97,Retired Partner,Retired Partner,1.0
Men,Low Education,98,Single,Single,1.0
Men,Low Education,98,Single,Working Partner,0.0
Men,Low Education,98,Single,Retired Partner,0.0
Men,Low Education,98,Working Partner,Single,0.0
Men,Low Education,98,Working Partner,Working Partner,0.0
Men,Low Education,98,Working Partner,Retired Partner,1.0
Men,Low Education,98,Retired Partner,Single,0.0
Men,Low Education,98,Retired Partner,Working Partner,0.0
Men,Low Education,98,Retired Partner,Retired Partner,1.0
Men,Low Education,99,Single,Single,1.0
Men,Low Education,99,Single,Working Partner,0.0
Men,Low Education,99,Single,Retired Partner,0.0
Men,Low Education,99,Working Partner,Single,0.0
Men,Low Education,99,Working Partner,Working Partner,0.0
Men,Low Education,99,Working Partner,Retired Partner,1.0
Men,Low Education,99,Retired Partner,Single,0.0
Men,Low Education,99,Retired Partner,Working Partner,0.0
Men,Low Education,99,Retired Partner,Retired Partner,1.0
Men,High Education,30,Single,Single,0.5
Men,High Education,30,Single,Working Partner,0.5
Men,High Education,30,Single,Retired Partner,0.0
Men,High Education,30,Working Partner,Single,0.5
Men,High Education,30,Working Partner,Working Partner,0.5
Men,High Education,30,Working Partner,Retired Partner,0.0
Men,High Education,30,Retired Partner,Single,0.0
Men,High Education,30,Retired Partner,Working Partner,0.0
Men,High Education,30,Retired Partner,Retired Partner,1.0
Men,High Education,31,Single,Single,0.5
Men,High Education,31,Single,Working Partner,0.5
Men,High Education,31,Single,Retired Partner,0.0
Men,High Education,31,Working Partner,Single,0.5
Men,High Education,31,Working Partner,Working Partner,0.5
Men,High Education,31,Working Partner,Retired Partner,0.0
Men,High Education,31,Retired Partner,Single,0.0
Men,High Education,31,Retired Partner,Working Partner,0.0
Men,High Education,31,Retired Partner,Retired Partner,1.0
Men,High Education,32,Single,Single,0.5
Men,High Education,32,Single,Working Partner,0.5
Men,High Education,32,Single,Retired Partner,0.0
Men,High Education,32,Working Partner,Single,0.5
Men,High Education,32,Working Partner,Working Partner,0.5
Men,High Education,32,Working Partner,Retired Partner,0.0
Men,High Education,32,Retired Partner,Single,0.0
Men,High Education,32,Retired Partner,Working Partner,0.0
Men,High Education,32,Retired Partner,Retired Partner,1.0
Men,High Education,33,Single,Single,0.5
Men,High Education,33,Single,Working Partner,0.5
Men,High Education,33,Single,Retired Partner,0.0
Men,High Education,33,Working Partner,Single,0.5
Men,High Education,33,Working Partner,Working Partner,0.5
Men,High Education,33,Working Partner,Retired Partner,0.0
Men,High Education,33,Retired Partner,Single,0.0
Men,High Education,33,Retired Partner,Working Partner,0.0
Men,High Education,33,Retired Partner,Retired Partner,1.0
Men,High Education,34,Single,Single,0.5
Men,High Education,34,Single,Working Partner,0.5
Men,High Education,34,Single,Retired Partner,0.0
Men,High Education,34,Working Partner,Single,0.5
Men,High Education,34,Working Partner,Working Partner,0.5
Men,High Education,34,Working Partner,Retired Partner,0.0
Men,High Education,34,Retired Partner,Single,0.0
Men,High Education,34,Retired Partner,Working Partner,0.0
Men,High Education,34,Retired Partner,Retired Partner,1.0
Men,High Education,35,Single,Single,0.5
Men,High Education,35,Single,Working Partner,0.5
Men,High Education,35,Single,Retired Partner,0.0
Men,High Education,35,Working Partner,Single,0.5
Men,High Education,35,Working Partner,Working Partner,0.5
Men,High Education,35,Working Partner,Retired Partner,0.0
Men,High Education,35,Retired Partner,Single,0.0
Men,High Education,35,Retired Partner,Working Partner,0.0
Men,High Education,35,Retired Partner,Retired Partner,1.0
Men,High Education,36,Single,Single,0.5
Men,High Education,36,Single,Working Partner,0.5
Men,High Education,36,Single,Retired Partner,0.0
Men,High Education,36,Working Partner,Single,0.5
Men,High Education,36,Working Partner,Working Partner,0.5
Men,High Education,36,Working Partner,Retired Partner,0.0
Men,High Education,36,Retired Partner,Single,0.0
Men,High Education,36,Retired Partner,Working Partner,0.0
Men,High Education,36,Retired Partner,Retired Partner,1.0
Men,High Education,37,Single,Single,0.5
Men,High Education,37,Single,Working Partner,0.5
Men,High Education,37,Single,Retired Partner,0.0
Men,High Education,37,Working Partner,Single,0.5
Men,High Education,37,Working Partner,Working Partner,0.5
Men,High Education,37,Working Partner,Retired Partner,0.0
Men,High Education,37,Retired Partner,Single,0.0
Men,High Education,37,Retired Partner,Working Partner,0.0
Men,High Education,37,Retired Partner,Retired Partner,1.0
Men,High Education,38,Single,Single,0.5
Men,High Education,38,Single,Working Partner,0.5
Men,High Education,38,Single,Retired Partner,0.0
Men,High Education,38,Working Partner,Single,0.5
Men,High Education,38,Working Partner,Working Partner,0.5
Men,High Education,38,Working Partner,Retired Partner,0.0
Men,High Education,38,Retired Partner,Single,0.0
Men,High Education,38,Retired Partner,Working Partner,0.0
Men,High Education,38,Retired Partner,Retired Partner,1.0
Men,High Education,39,Single,Single,0.5
Men,High Education,39,Single,Working Partner,0.5
Men,High Education,39,Single,Retired Partner,0.0
Men,High Education,39,Working Partner,Single,0.5
Men,High Education,39,Working Partner,Working Partner,0.5
Men,High Education,39,Working Partner,Retired Partner,0.0
Men,High Education,39,Retired Partner,Single,0.0
Men,High Education,39,Retired Partner,Working Partner,0.0
Men,High Education,39,Retired Partner,Retired Partner,1.0
Men,High Education,40,Single,Single,0.5
Men,High Education,40,Single,Working Partner,0.5
Men,High Education,40,Single,Retired Partner,0.0
Men,High Education,40,Working Partner,Single,0.5
Men,High Education,40,Working Partner,Working Partner,0.5
Men,High Education,40,Working Partner,Retired Partner,0.0
Men,High Education,40,Retired Partner,Single,0.0
Men,High Education,40,Retired Partner,Working Partner,0.0
Men,High Education,40,Retired Partner,Retired Partner,1.0
Men,High Education,41,Single,Single,0.3333333333333333
Men,High Education,41,Single,Working Partner,0.3333333333333333
Men,High Education,41,Single,Retired Partner,0.3333333333333333
Men,High Education,41,Working Partner,Single,0.3333333333333333
Men,High Education,41,Working Partner,Working Partner,0.3333333333333333
Men,High Education,41,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,41,Retired Partner,Single,0.0
Men,High Education,41,Retired Partner,Working Partner,0.0
Men,High Education,41,Retired Partner,Retired Partner,1.0
Men,High Education,42,Single,Single,0.3333333333333333
Men,High Education,42,Single,Working Partner,0.3333333333333333
Men,High Education,42,Single,Retired Partner,0.3333333333333333
Men,High Education,42,Working Partner,Single,0.3333333333333333
Men,High Education,42,Working Partner,Working Partner,0.3333333333333333
Men,High Education,42,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,42,Retired Partner,Single,0.0
Men,High Education,42,Retired Partner,Working Partner,0.0
Men,High Education,42,Retired Partner,Retired Partner,1.0
Men,High Education,43,Single,Single,0.3333333333333333
Men,High Education,43,Single,Working Partner,0.3333333333333333
Men,High Education,43,Single,Retired Partner,0.3333333333333333
Men,High Education,43,Working Partner,Single,0.3333333333333333
Men,High Education,43,Working Partner,Working Partner,0.3333333333333333
Men,High Education,43,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,43,Retired Partner,Single,0.0
Men,High Education,43,Retired Partner,Working Partner,0.0
Men,High Education,43,Retired Partner,Retired Partner,1.0
Men,High Education,44,Single,Single,0.3333333333333333
Men,High Education,44,Single,Working Partner,0.3333333333333333
Men,High Education,44,Single,Retired Partner,0.3333333333333333
Men,High Education,44,Working Partner,Single,0.3333333333333333
Men,High Education,44,Working Partner,Working Partner,0.3333333333333333
Men,High Education,44,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,44,Retired Partner,Single,0.0
Men,High Education,44,Retired Partner,Working Partner,0.0
Men,High Education,44,Retired Partner,Retired Partner,1.0
Men,High Education,45,Single,Single,0.3333333333333333
Men,High Education,45,Single,Working Partner,0.3333333333333333
Men,High Education,45,Single,Retired Partner,0.3333333333333333
Men,High Education,45,Working Partner,Single,0.3333333333333333
Men,High Education,45,Working Partner,Working Partner,0.3333333333333333
Men,High Education,45,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,45,Retired Partner,Single,0.0
Men,High Education,45,Retired Partner,Working Partner,0.0
Men,High Education,45,Retired Partner,Retired Partner,1.0
Men,High Education,46,Single,Single,0.3333333333333333
Men,High Education,46,Single,Working Partner,0.3333333333333333
Men,High Education,46,Single,Retired Partner,0.3333333333333333
Men,High Education,46,Working Partner,Single,0.3333333333333333
Men,High Education,46,Working Partner,Working Partner,0.3333333333333333
Men,High Education,46,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,46,Retired Partner,Single,0.0
Men,High Education,46,Retired Partner,Working Partner,0.0
Men,High Education,46,Retired Partner,Retired Partner,1.0
Men,High Education,47,Single,Single,0.3333333333333333
Men,High Education,47,Single,Working Partner,0.3333333333333333
Men,High Education,47,Single,Retired Partner,0.3333333333333333
Men,High Education,47,Working Partner,Single,0.3333333333333333
Men,High Education,47,Working Partner,Working Partner,0.3333333333333333
Men,High Education,47,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,47,Retired Partner,Single,0.0
Men,High Education,47,Retired Partner,Working Partner,0.0
Men,High Education,47,Retired Partner,Retired Partner,1.0
Men,High Education,48,Single,Single,0.3333333333333333
Men,High Education,48,Single,Working Partner,0.3333333333333333
Men,High Education,48,Single,Retired Partner,0.3333333333333333
Men,High Education,48,Working Partner,Single,0.3333333333333333
Men,High Education,48,Working Partner,Working Partner,0.3333333333333333
Men,High Education,48,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,48,Retired Partner,Single,0.0
Men,High Education,48,Retired Partner,Working Partner,0.0
Men,High Education,48,Retired Partner,Retired Partner,1.0
Men,High Education,49,Single,Single,0.3333333333333333
Men,High Education,49,Single,Working Partner,0.3333333333333333
Men,High Education,49,Single,Retired Partner,0.3333333333333333
Men,High Education,49,Working Partner,Single,0.3333333333333333
Men,High Education,49,Working Partner,Working Partner,0.3333333333333333
Men,High Education,49,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,49,Retired Partner,Single,0.0
Men,High Education,49,Retired Partner,Working Partner,0.0
Men,High Education,49,Retired Partner,Retired Partner,1.0
Men,High Education,50,Single,Single,0.3333333333333333
Men,High Education,50,Single,Working Partner,0.3333333333333333
Men,High Education,50,Single,Retired Partner,0.3333333333333333
Men,High Education,50,Working Partner,Single,0.3333333333333333
Men,High Education,50,Working Partner,Working Partner,0.3333333333333333
Men,High Education,50,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,50,Retired Partner,Single,0.0
Men,High Education,50,Retired Partner,Working Partner,0.0
Men,High Education,50,Retired Partner,Retired Partner,1.0
Men,High Education,51,Single,Single,0.3333333333333333
Men,High Education,51,Single,Working Partner,0.3333333333333333
Men,High Education,51,Single,Retired Partner,0.3333333333333333
Men,High Education,51,Working Partner,Single,0.3333333333333333
Men,High Education,51,Working Partner,Working Partner,0.3333333333333333
Men,High Education,51,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,51,Retired Partner,Single,0.0
Men,High Education,51,Retired Partner,Working Partner,0.0
Men,High Education,51,Retired Partner,Retired Partner,1.0
Men,High Education,52,Single,Single,0.3333333333333333
Men,High Education,52,Single,Working Partner,0.3333333333333333
Men,High Education,52,Single,Retired Partner,0.3333333333333333
Men,High Education,52,Working Partner,Single,0.3333333333333333
Men,High Education,52,Working Partner,Working Partner,0.3333333333333333
Men,High Education,52,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,52,Retired Partner,Single,0.0
Men,High Education,52,Retired Partner,Working Partner,0.0
Men,High Education,52,Retired Partner,Retired Partner,1.0
Men,High Education,53,Single,Single,0.3333333333333333
Men,High Education,53,Single,Working Partner,0.3333333333333333
Men,High Education,53,Single,Retired Partner,0.3333333333333333
Men,High Education,53,Working Partner,Single,0.3333333333333333
Men,High Education,53,Working Partner,Working Partner,0.3333333333333333
Men,High Education,53,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,53,Retired Partner,Single,0.0
Men,High Education,53,Retired Partner,Working Partner,0.0
Men,High Education,53,Retired Partner,Retired Partner,1.0
Men,High Education,54,Single,Single,0.3333333333333333
Men,High Education,54,Single,Working Partner,0.3333333333333333
Men,High Education,54,Single,Retired Partner,0.3333333333333333
Men,High Education,54,Working Partner,Single,0.3333333333333333
Men,High Education,54,Working Partner,Working Partner,0.3333333333333333
Men,High Education,54,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,54,Retired Partner,Single,0.0
Men,High Education,54,Retired Partner,Working Partner,0.0
Men,High Education,54,Retired Partner,Retired Partner,1.0
Men,High Education,55,Single,Single,0.3333333333333333
Men,High Education,55,Single,Working Partner,0.3333333333333333
Men,High Education,55,Single,Retired Partner,0.3333333333333333
Men,High Education,55,Working Partner,Single,0.3333333333333333
Men,High Education,55,Working Partner,Working Partner,0.3333333333333333
Men,High Education,55,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,55,Retired Partner,Single,0.0
Men,High Education,55,Retired Partner,Working Partner,0.0
Men,High Education,55,Retired Partner,Retired Partner,1.0
Men,High Education,56,Single,Single,0.3333333333333333
Men,High Education,56,Single,Working Partner,0.3333333333333333
Men,High Education,56,Single,Retired Partner,0.3333333333333333
Men,High Education,56,Working Partner,Single,0.3333333333333333
Men,High Education,56,Working Partner,Working Partner,0.3333333333333333
Men,High Education,56,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,56,Retired Partner,Single,0.0
Men,High Education,56,Retired Partner,Working Partner,0.0
Men,High Education,56,Retired Partner,Retired Partner,1.0
Men,High Education,57,Single,Single,0.3333333333333333
Men,High Education,57,Single,Working Partner,0.3333333333333333
Men,High Education,57,Single,Retired Partner,0.3333333333333333
Men,High Education,57,Working Partner,Single,0.3333333333333333
Men,High Education,57,Working Partner,Working Partner,0.3333333333333333
Men,High Education,57,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,57,Retired Partner,Single,0.0
Men,High Education,57,Retired Partner,Working Partner,0.0
Men,High Education,57,Retired Partner,Retired Partner,1.0
Men,High Education,58,Single,Single,0.3333333333333333
Men,High Education,58,Single,Working Partner,0.3333333333333333
Men,High Education,58,Single,Retired Partner,0.3333333333333333
Men,High Education,58,Working Partner,Single,0.3333333333333333
Men,High Education,58,Working Partner,Working Partner,0.3333333333333333
Men,High Education,58,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,58,Retired Partner,Single,0.0
Men,High Education,58,Retired Partner,Working Partner,0.0
Men,High Education,58,Retired Partner,Retired Partner,1.0
Men,High Education,59,Single,Single,0.3333333333333333
Men,High Education,59,Single,Working Partner,0.3333333333333333
Men,High Education,59,Single,Retired Partner,0.3333333333333333
Men,High Education,59,Working Partner,Single,0.3333333333333333
Men,High Education,59,Working Partner,Working Partner,0.3333333333333333
Men,High Education,59,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,59,Retired Partner,Single,0.0
Men,High Education,59,Retired Partner,Working Partner,0.0
Men,High Education,59,Retired Partner,Retired Partner,1.0
Men,High Education,60,Single,Single,0.3333333333333333
Men,High Education,60,Single,Working Partner,0.3333333333333333
Men,High Education,60,Single,Retired Partner,0.3333333333333333
Men,High Education,60,Working Partner,Single,0.3333333333333333
Men,High Education,60,Working Partner,Working Partner,0.3333333333333333
Men,High Education,60,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,60,Retired Partner,Single,0.0
Men,High Education,60,Retired Partner,Working Partner,0.0
Men,High Education,60,Retired Partner,Retired Partner,1.0
Men,High Education,61,Single,Single,0.3333333333333333
Men,High Education,61,Single,Working Partner,0.3333333333333333
Men,High Education,61,Single,Retired Partner,0.3333333333333333
Men,High Education,61,Working Partner,Single,0.3333333333333333
Men,High Education,61,Working Partner,Working Partner,0.3333333333333333
Men,High Education,61,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,61,Retired Partner,Single,0.0
Men,High Education,61,Retired Partner,Working Partner,0.0
Men,High Education,61,Retired Partner,Retired Partner,1.0
Men,High Education,62,Single,Single,0.3333333333333333
Men,High Education,62,Single,Working Partner,0.3333333333333333
Men,High Education,62,Single,Retired Partner,0.3333333333333333
Men,High Education,62,Working Partner,Single,0.3333333333333333
Men,High Education,62,Working Partner,Working Partner,0.3333333333333333
Men,High Education,62,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,62,Retired Partner,Single,0.0
Men,High Education,62,Retired Partner,Working Partner,0.0
Men,High Education,62,Retired Partner,Retired Partner,1.0
Men,High Education,63,Single,Single,0.3333333333333333
Men,High Education,63,Single,Working Partner,0.3333333333333333
Men,High Education,63,Single,Retired Partner,0.3333333333333333
Men,High Education,63,Working Partner,Single,0.3333333333333333
Men,High Education,63,Working Partner,Working Partner,0.3333333333333333
Men,High Education,63,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,63,Retired Partner,Single,0.0
Men,High Education,63,Retired Partner,Working Partner,0.0
Men,High Education,63,Retired Partner,Retired Partner,1.0
Men,High Education,64,Single,Single,0.3333333333333333
Men,High Education,64,Single,Working Partner,0.3333333333333333
Men,High Education,64,Single,Retired Partner,0.3333333333333333
Men,High Education,64,Working Partner,Single,0.3333333333333333
Men,High Education,64,Working Partner,Working Partner,0.3333333333333333
Men,High Education,64,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,64,Retired Partner,Single,0.0
Men,High Education,64,Retired Partner,Working Partner,0.0
Men,High Education,64,Retired Partner,Retired Partner,1.0
Men,High Education,65,Single,Single,0.3333333333333333
Men,High Education,65,Single,Working Partner,0.3333333333333333
Men,High Education,65,Single,Retired Partner,0.3333333333333333
Men,High Education,65,Working Partner,Single,0.3333333333333333
Men,High Education,65,Working Partner,Working Partner,0.3333333333333333
Men,High Education,65,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,65,Retired Partner,Single,0.0
Men,High Education,65,Retired Partner,Working Partner,0.0
Men,High Education,65,Retired Partner,Retired Partner,1.0
Men,High Education,66,Single,Single,0.3333333333333333
Men,High Education,66,Single,Working Partner,0.3333333333333333
Men,High Education,66,Single,Retired Partner,0.3333333333333333
Men,High Education,66,Working Partner,Single,0.3333333333333333
Men,High Education,66,Working Partner,Working Partner,0.3333333333333333
Men,High Education,66,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,66,Retired Partner,Single,0.0
Men,High Education,66,Retired Partner,Working Partner,0.0
Men,High Education,66,Retired Partner,Retired Partner,1.0
Men,High Education,67,Single,Single,0.3333333333333333
Men,High Education,67,Single,Working Partner,0.3333333333333333
Men,High Education,67,Single,Retired Partner,0.3333333333333333
Men,High Education,67,Working Partner,Single,0.3333333333333333
Men,High Education,67,Working Partner,Working Partner,0.3333333333333333
Men,High Education,67,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,67,Retired Partner,Single,0.0
Men,High Education,67,Retired Partner,Working Partner,0.0
Men,High Education,67,Retired Partner,Retired Partner,1.0
Men,High Education,68,Single,Single,0.3333333333333333
Men,High Education,68,Single,Working Partner,0.3333333333333333
Men,High Education,68,Single,Retired Partner,0.3333333333333333
Men,High Education,68,Working Partner,Single,0.3333333333333333
Men,High Education,68,Working Partner,Working Partner,0.3333333333333333
Men,High Education,68,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,68,Retired Partner,Single,0.0
Men,High Education,68,Retired Partner,Working Partner,0.0
Men,High Education,68,Retired Partner,Retired Partner,1.0
Men,High Education,69,Single,Single,0.3333333333333333
Men,High Education,69,Single,Working Partner,0.3333333333333333
Men,High Education,69,Single,Retired Partner,0.3333333333333333
Men,High Education,69,Working Partner,Single,0.3333333333333333
Men,High Education,69,Working Partner,Working Partner,0.3333333333333333
Men,High Education,69,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,69,Retired Partner,Single,0.0
Men,High Education,69,Retired Partner,Working Partner,0.0
Men,High Education,69,Retired Partner,Retired Partner,1.0
Men,High Education,70,Single,Single,0.3333333333333333
Men,High Education,70,Single,Working Partner,0.3333333333333333
Men,High Education,70,Single,Retired Partner,0.3333333333333333
Men,High Education,70,Working Partner,Single,0.3333333333333333
Men,High Education,70,Working Partner,Working Partner,0.3333333333333333
Men,High Education,70,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,70,Retired Partner,Single,0.0
Men,High Education,70,Retired Partner,Working Partner,0.0
Men,High Education,70,Retired Partner,Retired Partner,1.0
Men,High Education,71,Single,Single,0.3333333333333333
Men,High Education,71,Single,Working Partner,0.3333333333333333
Men,High Education,71,Single,Retired Partner,0.3333333333333333
Men,High Education,71,Working Partner,Single,0.3333333333333333
Men,High Education,71,Working Partner,Working Partner,0.3333333333333333
Men,High Education,71,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,71,Retired Partner,Single,0.0
Men,High Education,71,Retired Partner,Working Partner,0.0
Men,High Education,71,Retired Partner,Retired Partner,1.0
Men,High Education,72,Single,Single,0.3333333333333333
Men,High Education,72,Single,Working Partner,0.3333333333333333
Men,High Education,72,Single,Retired Partner,0.3333333333333333
Men,High Education,72,Working Partner,Single,0.3333333333333333
Men,High Education,72,Working Partner,Working Partner,0.3333333333333333
Men,High Education,72,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,72,Retired Partner,Single,0.0
Men,High Education,72,Retired Partner,Working Partner,0.0
Men,High Education,72,Retired Partner,Retired Partner,1.0
Men,High Education,73,Single,Single,0.3333333333333333
Men,High Education,73,Single,Working Partner,0.3333333333333333
Men,High Education,73,Single,Retired Partner,0.3333333333333333
Men,High Education,73,Working Partner,Single,0.3333333333333333
Men,High Education,73,Working Partner,Working Partner,0.3333333333333333
Men,High Education,73,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,73,Retired Partner,Single,0.0
Men,High Education,73,Retired Partner,Working Partner,0.0
Men,High Education,73,Retired Partner,Retired Partner,1.0
Men,High Education,74,Single,Single,0.3333333333333333
Men,High Education,74,Single,Working Partner,0.3333333333333333
Men,High Education,74,Single,Retired Partner,0.3333333333333333
Men,High Education,74,Working Partner,Single,0.3333333333333333
Men,High Education,74,Working Partner,Working Partner,0.3333333333333333
Men,High Education,74,Working Partner,Retired Partner,0.3333333333333333
Men,High Education,74,Retired Partner,Single,0.0
Men,High Education,74,Retired Partner,Working Partner,0.0
Men,High Education,74,Retired Partner,Retired Partner,1.0
Men,High Education,75,Single,Single,1.0
Men,High Education,75,Single,Working Partner,0.0
Men,High Education,75,Single,Retired Partner,0.0
Men,High Education,75,Working Partner,Single,0.0
Men,High Education,75,Working Partner,Working Partner,0.0
Men,High Education,75,Working Partner,Retired Partner,1.0
Men,High Education,75,Retired Partner,Single,0.0
Men,High Education,75,Retired Partner,Working Partner,0.0
Men,High Education,75,Retired Partner,Retired Partner,1.0
Men,High Education,76,Single,Single,1.0
Men,High Education,76,Single,Working Partner,0.0
Men,High Education,76,Single,Retired Partner,0.0
Men,High Education,76,Working Partner,Single,0.0
Men,High Education,76,Working Partner,Working Partner,0.0
Men,High Education,76,Working Partner,Retired Partner,1.0
Men,High Education,76,Retired Partner,Single,0.0
Men,High Education,76,Retired Partner,Working Partner,0.0
Men,High Education,76,Retired Partner,Retired Partner,1.0
Men,High Education,77,Single,Single,1.0
Men,High Education,77,Single,Working Partner,0.0
Men,High Education,77,Single,Retired Partner,0.0
Men,High Education,77,Working Partner,Single,0.0
Men,High Education,77,Working Partner,Working Partner,0.0
Men,High Education,77,Working Partner,Retired Partner,1.0
Men,High Education,77,Retired Partner,Single,0.0
Men,High Education,77,Retired Partner,Working Partner,0.0
Men,High Education,77,Retired Partner,Retired Partner,1.0
Men,High Education,78,Single,Single,1.0
Men,High Education,78,Single,Working Partner,0.0
Men,High Education,78,Single,Retired Partner,0.0
Men,High Education,78,Working Partner,Single,0.0
Men,High Education,78,Working Partner,Working Partner,0.0
